video_id,url,titulo,likes,dislikes,salvos,downloads,duracao,comentarios,qualidade_px,canal_id,canal_nome,canal_inscritos,categorias,palavras_chave,descricao,data_postagem,visibilidade,playlist_id,playlist_nome,idioma
Fp6r7O425u8,https://www.youtube.com/watch?v=Fp6r7O425u8,Erros comuns em Produtividade e como evitar (11),67945,10447,12741,10268,00:17:19,634,2160,UC1000000214,Canal Produtividade 01,211005,Música;Fitness,economia;brasil;passo a passo;aula;games;2025,"Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (11) com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2021-05-26,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
hA1XcW9aTMX,https://www.youtube.com/watch?v=hA1XcW9aTMX,Erros comuns em Produtividade e como evitar (12),141091,17895,28906,8943,00:30:45,6371,720,UC1000000214,Canal Produtividade 01,211005,Ciência;Notícias;Culinária,aula;produtividade;brasil;dicas;treino;carreira;viagem,"Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (12) com exemplos diretos.",2020-07-09,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
B6PRWJ1Gk8c,https://www.youtube.com/watch?v=B6PRWJ1Gk8c,Top 7 truques de Produtividade — edição 13,13653,1433,281,329,00:52:29,63,480,UC1000000214,Canal Produtividade 01,211005,Viagem,2025;aula;saúde;educação;review,"Neste vídeo, você vai ver top 7 truques de produtividade — edição 13 com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas.",2023-02-19,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
uNndNWYzjFn,https://www.youtube.com/watch?v=uNndNWYzjFn,Como melhorar em Produtividade (dicas rápidas) [14],222899,7933,74177,45508,00:37:22,12142,360,UC1000000214,Canal Produtividade 01,211005,Ciência;Jogos;Educação,notícias;saúde;review;python;receita;tecnologia;django,"Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [14] com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas.",2024-11-07,PRIVADO,PL100000369,Produtividade — Série 3,pt-BR
973IPFlJ5F7,https://www.youtube.com/watch?v=973IPFlJ5F7,Top 7 truques de Produtividade — edição 15,159994,11023,5325,3475,00:25:13,11152,720,UC1000000214,Canal Produtividade 01,211005,Humor;Fitness;Finanças,rotina;2024;passo a passo;2025,"Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver top 7 truques de produtividade — edição 15 com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2024-05-04,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
LCZFNV8S2QT,https://www.youtube.com/watch?v=LCZFNV8S2QT,Erros comuns em Produtividade e como evitar (16),71019,1888,3155,8779,00:53:01,3138,480,UC1000000214,Canal Produtividade 01,211005,Vlogs;Fitness;Viagem,produtividade;avançado;review;2024;ciência;2025;receita;como fazer,"Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (16) com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois.",2022-01-28,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
-nbK894RxgG,https://www.youtube.com/watch?v=-nbK894RxgG,Erros comuns em Produtividade e como evitar (17),29907,3282,9453,439,00:11:21,1152,720,UC1000000214,Canal Produtividade 01,211005,Música,brasil;música;python;produtividade,"Neste vídeo, você vai ver erros comuns em produtividade e como evitar (17) com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas.",2024-01-20,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
NhmABHkuEwj,https://www.youtube.com/watch?v=NhmABHkuEwj,Produtividade na prática — episódio 18,701,60,59,36,00:48:59,18,2160,UC1000000214,Canal Produtividade 01,211005,Fitness,educação;games;2024;python;review;brasil;2025;tecnologia,"Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver produtividade na prática — episódio 18 com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas.",2019-10-20,PUBLICO,PL100000369,Produtividade — Série 3,pt-PT
K4p7MZI_4kf,https://www.youtube.com/watch?v=K4p7MZI_4kf,Erros comuns em Produtividade e como evitar (19),192553,8204,3750,2719,00:53:12,8831,1440,UC1000000214,Canal Produtividade 01,211005,Culinária,rotina;tecnologia;django;iniciante;como fazer;carreira;python,"Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (19) com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2022-11-26,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
Q0_KZe6lOGP,https://www.youtube.com/watch?v=Q0_KZe6lOGP,Produtividade: guia completo #20,202518,16862,150,35559,00:32:32,6146,1440,UC1000000214,Canal Produtividade 01,211005,Viagem;Vlogs,música;tutorial;2024;iniciante;brasil;aula;avançado,"Neste vídeo, você vai ver produtividade: guia completo #20 com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2020-05-12,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
uNb0lCo7pt_,https://www.youtube.com/watch?v=uNb0lCo7pt_,Como melhorar em Produtividade (dicas rápidas) [21],133397,13614,61894,9031,00:10:52,9820,1440,UC1000000214,Canal Produtividade 01,211005,Culinária;Tecnologia;Fitness,economia;games;rotina;iniciante;dicas;avançado;viagem,"Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [21] com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2025-01-15,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
6PyEXD0fO8W,https://www.youtube.com/watch?v=6PyEXD0fO8W,Erros comuns em Produtividade e como evitar (22),173982,9968,2426,9669,00:23:39,28645,1080,UC1000000214,Canal Produtividade 01,211005,Finanças,dicas;viagem;aula;python;tecnologia;notícias;passo a passo,"Neste vídeo, você vai ver erros comuns em produtividade e como evitar (22) com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2023-06-17,PUBLICO,,,pt-PT
WO-eiEKDl3m,https://www.youtube.com/watch?v=WO-eiEKDl3m,Produtividade: guia completo #23,116307,2453,3014,1838,00:21:01,7056,480,UC1000000214,Canal Produtividade 01,211005,Finanças,carreira;educação;games;como fazer;notícias;música;passo a passo,"Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver produtividade: guia completo #23 com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2024-07-31,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
6Gb7Kuj4SM2,https://www.youtube.com/watch?v=6Gb7Kuj4SM2,Como melhorar em Produtividade (dicas rápidas) [24],119756,6527,63335,3124,00:40:02,4847,2160,UC1000000214,Canal Produtividade 01,211005,Educação;Ciência,iniciante;dicas;carreira;educação;música;viagem;tutorial,"Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [24] com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2025-10-22,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
rmfN4eUqlLP,https://www.youtube.com/watch?v=rmfN4eUqlLP,Erros comuns em Produtividade e como evitar (25),46042,2209,11988,4465,00:57:41,1871,1080,UC1000000214,Canal Produtividade 01,211005,Humor;Jogos,django;passo a passo;aula;música,"Neste vídeo, você vai ver erros comuns em produtividade e como evitar (25) com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas.",2025-04-01,PUBLICO,PL100000369,Produtividade — Série 3,pt-PT
p6VHWVnD8dP,https://www.youtube.com/watch?v=p6VHWVnD8dP,Top 7 truques de Produtividade — edição 26,58030,7606,9902,1911,00:10:32,76,720,UC1000000214,Canal Produtividade 01,211005,Tecnologia;Humor,humor;brasil;aula;treino;django,"Neste vídeo, você vai ver top 7 truques de produtividade — edição 26 com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois.",2025-08-02,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
-0JeVB44EUm,https://www.youtube.com/watch?v=-0JeVB44EUm,Como melhorar em Produtividade (dicas rápidas) [27],142728,21129,26092,4002,00:58:53,3003,2160,UC1000000214,Canal Produtividade 01,211005,Ciência,dicas;tutorial;games;economia;2025;aula;carreira;2024,"Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [27] com exemplos diretos.",2025-07-29,PUBLICO,PL100000158,Produtividade — Série 1,es
aJsqGwodqbT,https://www.youtube.com/watch?v=aJsqGwodqbT,Produtividade na prática — episódio 28,154364,2854,4153,34477,00:08:45,15605,1080,UC1000000214,Canal Produtividade 01,211005,Finanças;Viagem,django;rotina;2025;produtividade,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver produtividade na prática — episódio 28 com exemplos diretos.",2024-02-20,PUBLICO,,,pt-BR
Z2n-4jkPsiq,https://www.youtube.com/watch?v=Z2n-4jkPsiq,Como melhorar em Produtividade (dicas rápidas) [29],163661,17968,49925,34770,00:21:07,9919,1080,UC1000000214,Canal Produtividade 01,211005,Humor,ciência;tecnologia;humor;música,"Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [29] com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas.",2021-07-24,PUBLICO,PL100000369,Produtividade — Série 3,pt-PT
mO2OGVt8ilk,https://www.youtube.com/watch?v=mO2OGVt8ilk,Produtividade: guia completo #30,113213,3026,4263,19217,00:39:20,10977,360,UC1000000214,Canal Produtividade 01,211005,Jogos;Ciência,ciência;viagem;tutorial;avançado;produtividade;games;receita,"Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver produtividade: guia completo #30 com exemplos diretos.",2020-09-25,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
VoJC2dIdxIN,https://www.youtube.com/watch?v=VoJC2dIdxIN,Como melhorar em Produtividade (dicas rápidas) [31],92018,293,26265,251,00:07:15,3524,1080,UC1000000214,Canal Produtividade 01,211005,Vlogs;Jogos,receita;avançado;viagem;economia;música,"Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [31] com exemplos diretos.",2020-10-06,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
2-41IBoS3oK,https://www.youtube.com/watch?v=2-41IBoS3oK,Top 7 truques de Produtividade — edição 32,127567,10106,6475,3590,00:01:31,1730,480,UC1000000214,Canal Produtividade 01,211005,Fitness;Jogos,dicas;saúde;viagem;python,"Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver top 7 truques de produtividade — edição 32 com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas.",2024-12-21,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
jYf3c6jO2Z1,https://www.youtube.com/watch?v=jYf3c6jO2Z1,Como melhorar em Produtividade (dicas rápidas) [33],30192,1330,3769,5928,00:07:00,433,480,UC1000000214,Canal Produtividade 01,211005,Viagem;Notícias,passo a passo;treino;avançado;viagem;economia;2025;música;como fazer,"Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [33] com exemplos diretos.",2024-12-13,PUBLICO,PL100000369,Produtividade — Série 3,es
sEnsGzwtjw_,https://www.youtube.com/watch?v=sEnsGzwtjw_,Erros comuns em Produtividade e como evitar (34),197773,18988,57805,41634,00:43:38,10276,720,UC1000000214,Canal Produtividade 01,211005,Vlogs,saúde;django;tecnologia;avançado,"Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (34) com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois.",2022-12-12,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
VKjlX7f5yP8,https://www.youtube.com/watch?v=VKjlX7f5yP8,Top 7 truques de Produtividade — edição 35,39547,7381,2813,1381,00:35:26,320,480,UC1000000214,Canal Produtividade 01,211005,Vlogs;Humor;Finanças,produtividade;como fazer;receita;notícias;avançado;treino;python;economia,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver top 7 truques de produtividade — edição 35 com exemplos diretos.",2019-09-27,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
tQksSNYqkNW,https://www.youtube.com/watch?v=tQksSNYqkNW,Como melhorar em Produtividade (dicas rápidas) [36],213171,8624,13874,1194,00:61:00,3509,720,UC1000000214,Canal Produtividade 01,211005,Música;Humor,aula;passo a passo;avançado;ciência;games,"Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [36] com exemplos diretos.",2022-10-11,PUBLICO,PL100000158,Série Especial,en-US
uxv4f0UE4K5,https://www.youtube.com/watch?v=uxv4f0UE4K5,Produtividade na prática — episódio 37,139987,7684,25430,18691,00:31:04,4616,1080,UC1000000214,Canal Produtividade 01,211005,Finanças;Notícias;Culinária,games;produtividade;aula;ciência;iniciante,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver produtividade na prática — episódio 37 com exemplos diretos.",2023-03-01,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
KkuI5s3lC5S,https://www.youtube.com/watch?v=KkuI5s3lC5S,Produtividade: guia completo #38,108762,2056,12653,24570,00:16:19,202,2160,UC1000000214,Canal Produtividade 01,211005,Jogos;Culinária;Ciência,avançado;notícias;saúde;empreendedorismo,"Neste vídeo, você vai ver produtividade: guia completo #38 com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas.",2024-01-12,PUBLICO,PL100000158,Produtividade — Série 1,es
t2oKEMpgE16,https://www.youtube.com/watch?v=t2oKEMpgE16,Produtividade: guia completo #39,29060,4094,269,4710,00:17:30,2386,1080,UC1000000214,Canal Produtividade 01,211005,Viagem,2025;carreira;python;como fazer;educação;música,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver produtividade: guia completo #39 com exemplos diretos.",2019-10-05,PRIVADO,PL100000369,Produtividade — Série 3,pt-BR
cX8fXVGcTiS,https://www.youtube.com/watch?v=cX8fXVGcTiS,Produtividade na prática — episódio 40,192136,3396,43583,5772,00:38:16,10531,480,UC1000000214,Canal Produtividade 01,211005,Vlogs;Humor;Culinária,passo a passo;empreendedorismo;música;django;tutorial,"Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver produtividade na prática — episódio 40 com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois.",2021-03-28,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
8GeyKTgQIpV,https://www.youtube.com/watch?v=8GeyKTgQIpV,Erros comuns em Produtividade e como evitar (41),233173,14409,50678,12243,00:34:52,24074,1440,UC1000000214,Canal Produtividade 01,211005,Tecnologia;Notícias,python;produtividade;notícias;como fazer,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (41) com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois.",2019-11-24,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
2v4S5fT3Jhj,https://www.youtube.com/watch?v=2v4S5fT3Jhj,Erros comuns em Produtividade e como evitar (42),95239,12286,2040,4977,00:47:17,570,480,UC1000000214, Canal Produtividade 01  ,211005,Música,receita;treino;carreira;tutorial;produtividade;aula,"Neste vídeo, você vai ver erros comuns em produtividade e como evitar (42) com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2023-12-24,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
OJFodx_XpHH,https://www.youtube.com/watch?v=OJFodx_XpHH,Erros comuns em Produtividade e como evitar (43),56248,4678,16095,1111,00:59:13,353,2160,UC1000000214,Canal Produtividade 01,211005,Tecnologia;Ciência,educação;receita;empreendedorismo;passo a passo;brasil;música,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (43) com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois.",2020-12-14,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
rE_dUV7qliN,https://www.youtube.com/watch?v=rE_dUV7qliN,Erros comuns em Produtividade e como evitar (44),187939,26921,75353,5194,00:44:51,3816,2160,UC1000000214,Canal Produtividade 01,211005,Jogos;Culinária;Finanças,como fazer;música;aula;python;rotina;tutorial;review;ciência,"Se este material te ajudou, compartilhe e salve para rever depois. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (44) com exemplos diretos. Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas.",2020-10-25,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
KkGzJqMlvtv,https://www.youtube.com/watch?v=KkGzJqMlvtv,Top 7 truques de Produtividade — edição 45,188909,22126,73874,232,00:06:32,2627,1440,UC1000000214,Canal Produtividade 01,211005,Ciência;Música,python;produtividade;tecnologia;dicas;saúde;notícias;brasil;avançado,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver top 7 truques de produtividade — edição 45 com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois.",2023-07-22,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
197ARsOOSZq,https://www.youtube.com/watch?v=197ARsOOSZq,Como melhorar em Produtividade (dicas rápidas) [46],134998,10456,4014,8123,00:10:37,1188,1080,UC1000000214,Canal Produtividade 01,211005,Notícias;Música;Culinária,carreira;viagem;economia;2024;música;como fazer,"Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [46] com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2024-08-04,PUBLICO,PL100000286,Produtividade — Série 2,pt-BR
6EBTggK_8Kb,https://www.youtube.com/watch?v=6EBTggK_8Kb,Produtividade: guia completo #47,112965,2166,50060,1482,00:28:20,797,720,UC1000000214,Canal Produtividade 01,211005,Fitness;Tecnologia;Notícias,django;música;brasil;iniciante;produtividade;educação;ciência;review,"Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver produtividade: guia completo #47 com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas.",2023-03-09,PUBLICO,,,pt-BR
szZfferQ86t,https://www.youtube.com/watch?v=szZfferQ86t,Top 7 truques de Produtividade — edição 48,234129,10746,83500,9805,00:41:31,16702,1440,UC1000000214,Canal Produtividade 01,211005,Humor;Viagem,saúde;notícias;dicas;receita;economia;educação,"Canal: Canal Produtividade 01. Novos vídeos toda semana. Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver top 7 truques de produtividade — edição 48 com exemplos diretos.",2019-04-20,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
